time,ongoing_trips,date_snapshot
2025-03-02 09:00:00,128,20250226
2025-03-02 10:00:00,123,20250226
2025-03-02 11:00:00,120,20250226
2025-03-02 12:00:00,107,20250226
2025-03-02 13:00:00,94,20250226
2025-03-02 14:00:00,87,20250226
2025-03-02 15:00:00,95,20250226
2025-03-02 16:00:00,111,20250226
2025-03-02 17:00:00,116,20250226
2025-03-02 18:00:00,123,20250226
2025-03-02 19:00:00,131,20250226
2025-03-02 20:00:00,123,20250226
2025-03-02 21:00:00,119,20250226
2025-03-02 22:00:00,90,20250226
2025-03-02 23:00:00,54,20250226
2025-03-03 00:00:00,18,20250226
2025-03-03 01:00:00,2,20250226
2025-03-03 02:00:00,0,20250226
2025-03-03 03:00:00,0,20250226
2025-03-03 04:00:00,0,20250226
2025-03-03 05:00:00,60,20250226
2025-03-03 06:00:00,204,20250226
2025-03-03 07:00:00,319,20250226
2025-03-03 08:00:00,324,20250226
2025-03-03 09:00:00,266,20250226
